name,positive_ratings_ratio,price,Peak Viewers,Day,Total viewers,ratingstotal,release_date,Sequel,Charity_stream,tournament,FPS,MOBA
Dead by Daylight,0.75776225,14.99,146848,8/20/2020,1150353,185706,6/14/2016,0,0,0,0,0
Transmissions: Element 120,0.94047761,0,65,7/20/2020,1076453,8417,6/16/2016,0,0,0,1,0
Rec Room,0.93845731,0,19081,8/20/2020,717126,3656,6/28/2016,0,0,0,0,0
The Room Two,0.97671342,3.99,25659,7/20/2020,760689,7558,7/5/2016,1,0,0,0,0
RWBY: Grimm Eclipse,0.82855535,14.99,35296,12/20/2020,543112,10674,7/5/2016,0,0,0,0,0
INSIDE,0.954647,14.99,37950,7/20/2020,599655,20594,7/7/2016,0,0,0,0,0
Replica,0.87118143,1.99,12339,9/20/2020,534140,2717,7/11/2016,0,0,0,0,0
Poly Bridge,0.88773745,7.1900001,37121,1/20/2020,811003,4632,7/12/2016,0,0,0,0,0
klocki,0.97400111,0.79000002,5887,7/20/2020,1076453,3654,7/13/2016,0,0,0,0,0
Polarity,0.80672961,10.29,18635,7/20/2020,599655,4874,7/15/2016,0,0,0,0,0
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,0.94185537,15.49,22572,7/20/2020,599655,4592,7/18/2016,1,0,0,1,0
Death Road to Canada,0.93391699,10.99,17298,2/20/2020,744805,3541,7/21/2016,0,0,0,0,0
Starbound,0.90465736,11.99,26630,4/20/2020,743596,81978,7/22/2016,0,0,0,0,0
Human: Fall Flat,0.91374922,11.99,73386,1/20/2020,811003,31049,7/22/2016,0,1,0,0,0
Montaro,0.95417613,0.79000002,560,1/20/2020,1276009,10584,7/25/2016,0,0,0,0,0
Half Dead,0.79517192,1.59,41582,2/20/2020,593219,2734,8/1/2016,0,0,0,0,0
ABZU,0.92689866,14.99,28205,8/20/2020,513664,16867,8/2/2016,0,0,0,0,0
This Is the Police,0.82904381,13.99,36886,10/20/2020,786585,6411,8/2/2016,0,0,0,0,0
Batman - The Telltale Series,0.76264644,11.99,46768,8/20/2020,717126,7512,8/2/2016,0,0,0,0,0
Tricky Towers,0.90122813,11.99,50707,4/20/2020,1011491,3827,8/2/2016,0,0,0,0,0
MANDAGON,0.94864923,0,57,8/20/2020,717126,4849,8/3/2016,0,0,0,0,0
Overcooked,0.91099548,12.99,31763,11/20/2020,800069,7303,8/3/2016,0,0,0,0,0
Kingdom: New Lands,0.8617537,10.99,34957,8/20/2020,513664,5360,8/9/2016,0,0,0,0,0
Super Star,0.79751623,1.59,740,10/20/2020,608466,3704,8/11/2016,0,0,0,0,0
F1 2016,0.84099764,39.990002,35111,8/20/2020,513664,3849,8/18/2016,1,0,0,0,0
Duelyst,0.81374621,0,22997,2/20/2020,593219,4263,8/23/2016,0,0,0,0,0
The Pirate: Caribbean Hunt,0.79498941,0,15,8/20/2020,1150353,2834,8/24/2016,0,0,0,0,0
Valley,0.91291565,14.99,29359,8/20/2020,513664,4421,8/24/2016,0,0,0,0,0
GOD EATER 2 Rage Burst,0.7773084,39.990002,32229,9/20/2020,534140,3314,8/29/2016,1,0,0,0,0
The Final Station,0.83903772,10.99,16918,9/20/2020,534140,4032,8/30/2016,0,0,0,0,0
The Turing Test,0.86106348,14.99,123846,1/20/2020,811003,3498,8/30/2016,0,1,0,0,0
Titan Quest Anniversary Edition,0.9115693,17.99,2202,5/20/2020,1024200,11591,8/31/2016,0,0,0,0,0
Redout: Enhanced Edition,0.87341338,29.99,33742,7/20/2020,1232340,2915,9/2/2016,0,0,0,0,0
Mother Russia Bleeds,0.8585791,10.99,4094,6/20/2020,1304579,2984,9/5/2016,0,0,0,0,0
Aim Hero,0.85003275,3.99,6728,6/20/2020,1304579,3054,9/5/2016,0,0,0,0,0
How to Survive 2,0.70207381,10.99,738,11/20/2020,1202989,8294,9/8/2016,1,0,0,0,0
STEINS;GATE,0.97777778,23.99,5321,2/20/2020,1311802,5850,9/8/2016,0,0,0,0,0
